I_rad,T_out,H_air,T_air,I_rad,T_out,H_air,T_air
148.9269,33.4,32.9,43.5,51.0284,33.2,33.7,42.3
112.3986,33.6,32.8,43.2,54.9543,32.8,36,40.5
159.3268,33.6,33.2,42.9,54.3484,32.5,38,39.4
134.6758,34.1,33.4,42.7,35.3331,32,39.6,38.1
113.1788,33.9,32.5,43.2,23.5886,31.7,41.5,37
82.8008,33.6,34.8,42,19.7125,31.4,44.4,36.1
80.3938,32.9,36.5,40.7,17.7454,31.2,46.1,35.4
176.5659,34.8,35.9,41.1,15.3882,31,49.6,34.7
161.103,35,35.1,42.2,16.6249,30.7,52.8,34.2
136.95,34.9,34,42.7,17.9197,30.4,55.2,33.7
145.1006,35.5,33.3,43.2,19.8204,30.6,56.7,33.5
129.7373,37,33.9,43.7,17.8201,30.6,56.5,33.6
51.0284,33.2,33.7,42.3,11.5619,30.3,58.6,33.2
54.9543,32.8,36,40.5,7.9431,30,58.7,32.8
54.3484,32.5,38,39.4,6.0424,30,58.5,32.4
35.3331,32,39.6,38.1,4.7061,30.1,60.8,31.9
23.5886,31.7,41.5,37,1.992,29.4,63.1,31.5
19.7125,31.4,44.4,36.1,0.6308,29.3,64.6,31.1
17.7454,31.2,46.1,35.4,0.1245,29.1,67.3,30.6
15.3882,31,49.6,34.7,0,28.7,70.9,30
16.6249,30.7,52.8,34.2,0,28.4,71.6,29.6
17.9197,30.4,55.2,33.7,0,28.4,72.1,29.3
19.8204,30.6,56.7,33.5,0,27.9,72.3,29
17.8201,30.6,56.5,33.6,0,28.2,73.1,29
11.5619,30.3,58.6,33.2,0,28.1,73.7,28.8
7.9431,30,58.7,32.8,0,28,74.6,28.6
6.0424,30,58.5,32.4,0,28,74.8,28.5
4.7061,30.1,60.8,31.9,0,28,74.8,28.3
1.992,29.4,63.1,31.5,0,27.9,75.5,28.1
0.6308,29.3,64.6,31.1,0,27.4,77.3,27.9
0.1245,29.1,67.3,30.6,0,27.3,77.7,27.6
0,28.7,70.9,30,0,26.8,78.4,27.5
0,28.4,71.6,29.6,0,26.5,79.4,27.3
0,28.4,72.1,29.3,0,26.7,79.6,27.2
0,27.9,72.3,29,0,27,78.9,27.1
0,28.2,73.1,29,0,27,80.4,26.9
