Irad,Tout,Hair,Tair,Irad,Tout,Hair,Tair
0,27.6,80.5,27.9,0,26.6,84.9,27.2
0,27.5,81.1,27.8,0,26.5,84.3,27.2
0,27.3,81.6,27.7,0,26.8,83.6,27.2
0,27.3,82,27.7,0,26.5,84.2,27.2
0,26.8,82.3,27.6,0.1422,26.1,84.5,27.2
0,26.9,81.8,27.6,0.5056,26.3,84.1,27.2
0,26.8,81.8,27.6,1.5879,26.5,83.6,27.3
0,26.9,82.4,27.5,2.6702,26.4,84.3,27.2
0,26.5,83.2,27.5,4.5978,26.5,83.7,27.2
0,26.6,83.2,27.4,7.2996,26.1,82.4,27.2
0,26.5,83.5,27.4,10.981,26.4,81.4,27.4
0,26.7,84.5,27.3,16.1397,26.3,81.4,27.6
0,26.6,84.9,27.2,23.1549,26.4,81.2,27.8
0,26.5,84.3,27.2,31.3235,26.6,80.8,28.1
0,26.8,83.6,27.2,42.2097,26.5,78.1,28.4
0,26.5,84.2,27.2,73.3436,26.5,74.7,29.4
0.1422,26.1,84.5,27.2,79.5846,26.6,68.9,30.4
0.5056,26.3,84.1,27.2,78.9052,27.1,66,31.2
1.5879,26.5,83.6,27.3,70.9104,27.1,66.7,31.3
2.6702,26.4,84.3,27.2,69.7017,27.1,66.6,31.3
4.5978,26.5,83.7,27.2,84.7591,27.1,64.8,32
7.2996,26.1,82.4,27.2,78.1863,27.5,63.8,32.4
10.981,26.4,81.4,27.4,78.8815,28.2,62.9,32.6
16.1397,26.3,81.4,27.6,79.5609,28.4,62.2,32.9
23.1549,26.4,81.2,27.8,82.1837,28.6,61.6,33.2
31.3235,26.6,80.8,28.1,83.9454,29,61.2,33.4
42.2097,26.5,78.1,28.4,87.0975,29,59.7,33.9
73.3436,26.5,74.7,29.4,110.2998,29.2,59,34.2
79.5846,26.6,68.9,30.4,93.6308,29.3,58.9,34.5
78.9052,27.1,66,31.2,98.6631,29.1,59,35
70.9104,27.1,66.7,31.3,122.687,29.9,57.5,35.4
69.7017,27.1,66.6,31.3,154.7136,29.7,54.9,36.2
84.7591,27.1,64.8,32,157.9842,30.5,55.2,36.8
78.1863,27.5,63.8,32.4,113.6968,30.9,55.5,37.1
78.8815,28.2,62.9,32.6,142.1605,30.5,52.4,37.4
79.5609,28.4,62.2,32.9,163.6485,31.5,53.6,37.3
82.1837,28.6,61.6,33.2,159.6511,31.6,53.8,37.1
83.9454,29,61.2,33.4,163.4352,32.3,54.4,37.1
87.0975,29,59.7,33.9,165.7736,32.4,53,37.3
110.2998,29.2,59,34.2,174.9297,31.9,51.3,37.5
93.6308,29.3,58.9,34.5,117.8917,32.8,50.8,37.8
98.6631,29.1,59,35,134.3,33.3,51.3,37.6
122.687,29.9,57.5,35.4,179.2115,33.2,51.8,37.9
154.7136,29.7,54.9,36.2,182.806,33.3,50.2,38.5
157.9842,30.5,55.2,36.8,137.0729,33.5,48.4,38.9
113.6968,30.9,55.5,37.1,99.2161,33.7,50.1,38.8
142.1605,30.5,52.4,37.4,153.4575,34,49.9,38.4
163.6485,31.5,53.6,37.3,176.802,34,48.1,39
159.6511,31.6,53.8,37.1,176.9284,34.1,48.9,39.1
163.4352,32.3,54.4,37.1,95.4636,34.6,47.7,38.8
165.7736,32.4,53,37.3,181.1628,34.4,49.9,38.9
174.9297,31.9,51.3,37.5,152.4463,33.8,48,39.1
117.8917,32.8,50.8,37.8,178.4452,34.2,46.2,39.6
134.3,33.3,51.3,37.6,161.3812,34.9,46.6,39.7
179.2115,33.2,51.8,37.9,151.4825,35.3,44.4,40.6
